api1,package1,api2,package2,count,count1,count2,proportion1,proportion2,maxProportion
org.apache.httpcomponents:httpclient,org.apache.http.client.methods,org.apache.httpcomponents:httpclient-win,org.apache.http.impl.client,123,128,131,0.96,0.94,0.96
org.hamcrest:hamcrest-all,org.hamcrest,junit:junit,org.junit,159,234,1081,0.68,0.15,0.68
junit:junit,org.junit,com.github.lalithsuresh:examples,org.slf4j,323,1081,484,0.3,0.67,0.67
junit:junit,org.junit,org.mockito:mockito-core,org.mockito.invocation,78,1081,118,0.07,0.66,0.66
junit:junit,org.junit,org.mockito:mockito-core,org.mockito.stubbing,231,1081,350,0.21,0.66,0.66
junit:junit,org.junit,org.mockito:mockito-core,org.mockito,294,1081,453,0.27,0.65,0.65
fish.payara.extras:payara-embedded-all,com.fasterxml.jackson.databind,junit:junit,org.junit,138,234,1081,0.59,0.13,0.59
com.google.code.gson:gson,com.google,junit:junit,org.junit,327,559,1081,0.58,0.3,0.58
org.hamcrest:hamcrest-all,org.hamcrest,org.mockito:mockito-core,org.mockito,133,234,453,0.57,0.29,0.57
commons-codec:commons-codec,org.apache,junit:junit,org.junit,91,171,1081,0.53,0.08,0.53
org.gradle:gradle-tooling-api,org.apache.commons.io,junit:junit,org.junit,161,305,1081,0.53,0.15,0.53
org.apache.hbase.thirdparty:hbase-shaded-miscellaneous,org.apache.commons.cli,junit:junit,org.junit,55,111,1081,0.5,0.05,0.5
org.apache.httpcomponents:httpclient,org.apache.http.client.methods,junit:junit,org.junit,62,128,1081,0.48,0.06,0.48
com.aliyun.openservices:ons-client,org.apache.commons.lang3,junit:junit,org.junit,139,287,1081,0.48,0.13,0.48
org.apache.httpcomponents:httpclient-win,org.apache.http.impl.client,junit:junit,org.junit,62,131,1081,0.47,0.06,0.47
org.assertj:assertj-core,org.assertj.core.api,org.mockito:mockito-core,org.mockito,89,195,453,0.46,0.2,0.46
org.assertj:assertj-core,org.assertj.core.api,junit:junit,org.junit,89,195,1081,0.46,0.08,0.46
org.hamcrest:hamcrest-all,org.hamcrest,org.mockito:mockito-core,org.mockito.stubbing,105,234,350,0.45,0.3,0.45
junit:junit,org.junit.runner,org.mockito:mockito-core,org.mockito.invocation,52,489,118,0.11,0.44,0.44
com.google.code.gson:gson,com.google,com.aliyun.openservices:ons-client,org.apache.commons.lang3,125,559,287,0.22,0.44,0.44
junit:junit,org.junit.rules,org.mockito:mockito-core,org.mockito,115,266,453,0.43,0.25,0.43
org.hamcrest:hamcrest-all,org.hamcrest,junit:junit,org.junit.runner,99,234,489,0.42,0.2,0.42
junit:junit,org.junit.runner,org.mockito:mockito-core,org.mockito.stubbing,147,489,350,0.3,0.42,0.42
junit:junit,org.junit.runner,org.mockito:mockito-core,org.mockito,186,489,453,0.38,0.41,0.41
org.assertj:assertj-core,org.assertj.core.api,org.mockito:mockito-core,org.mockito.stubbing,76,195,350,0.39,0.22,0.39
org.gradle:gradle-tooling-api,org.apache.commons.io,com.aliyun.openservices:ons-client,org.apache.commons.lang3,111,305,287,0.36,0.39,0.39
org.mockito:mockito-core,org.mockito.invocation,com.github.lalithsuresh:examples,org.slf4j,45,118,484,0.38,0.09,0.38
com.google.code.gson:gson,com.google,org.apache.httpcomponents:httpclient,org.apache.http.client.methods,48,559,128,0.09,0.38,0.38
com.google.code.gson:gson,com.google,org.apache.hbase.thirdparty:hbase-shaded-miscellaneous,org.apache.commons.cli,42,559,111,0.08,0.38,0.38
junit:junit,org.junit.rules,org.mockito:mockito-core,org.mockito.stubbing,101,266,350,0.38,0.29,0.38
org.projectlombok:lombok,lombok,junit:junit,org.junit,61,162,1081,0.38,0.06,0.38
org.mockito:mockito-core,org.mockito.stubbing,com.github.lalithsuresh:examples,org.slf4j,128,350,484,0.37,0.26,0.37
com.google.code.gson:gson,com.google,org.apache.httpcomponents:httpclient-win,org.apache.http.impl.client,49,559,131,0.09,0.37,0.37
com.google.code.gson:gson,com.google,org.mockito:mockito-core,org.mockito,168,559,453,0.3,0.37,0.37
fish.payara.extras:payara-embedded-all,com.fasterxml.jackson.databind,com.github.lalithsuresh:examples,org.slf4j,86,234,484,0.37,0.18,0.37
com.google.code.gson:gson,com.google,commons-codec:commons-codec,org.apache,64,559,171,0.11,0.37,0.37
com.google.code.gson:gson,com.google,org.mockito:mockito-core,org.mockito.stubbing,125,559,350,0.22,0.36,0.36
com.google.code.gson:gson,com.google,org.testng:testng,org.testng,37,559,103,0.07,0.36,0.36
com.google.code.gson:gson,com.google,org.projectlombok:lombok,lombok,58,559,162,0.1,0.36,0.36
junit:junit,org.junit.runners,org.mockito:mockito-core,org.mockito,114,321,453,0.36,0.25,0.36
org.junit.jupiter:junit-jupiter-api,org.junit.jupiter.api,org.mockito:mockito-core,org.mockito,43,120,453,0.36,0.09,0.36
com.google.code.gson:gson,com.google,junit:junit,org.junit.runners,112,559,321,0.2,0.35,0.35
junit:junit,org.junit.rules,com.github.lalithsuresh:examples,org.slf4j,94,266,484,0.35,0.19,0.35
com.google.code.gson:gson,com.google,junit:junit,org.junit.rules,92,559,266,0.16,0.35,0.35
org.apache.httpcomponents:httpclient,org.apache.http.client.methods,com.github.lalithsuresh:examples,org.slf4j,44,128,484,0.34,0.09,0.34
commons-codec:commons-codec,org.apache,com.github.lalithsuresh:examples,org.slf4j,58,171,484,0.34,0.12,0.34
fish.payara.extras:payara-embedded-all,com.fasterxml.jackson.databind,com.google.code.gson:gson,com.google,80,234,559,0.34,0.14,0.34
com.google.code.gson:gson,com.google,org.mockito:mockito-core,org.mockito.invocation,40,559,118,0.07,0.34,0.34
com.aliyun.openservices:ons-client,com.alibaba.fastjson,junit:junit,org.junit,44,128,1081,0.34,0.04,0.34
org.apache.httpcomponents:httpclient-win,org.apache.http.impl.client,com.github.lalithsuresh:examples,org.slf4j,45,131,484,0.34,0.09,0.34
com.google.code.gson:gson,com.google,org.gradle:gradle-tooling-api,org.apache.commons.io,102,559,305,0.18,0.33,0.33
com.google.code.gson:gson,com.google,org.testng:testng,org.testng.annotations,38,559,114,0.07,0.33,0.33
com.google.code.gson:gson,com.google,junit:junit,org.junit.runner,163,559,489,0.29,0.33,0.33
com.aliyun.openservices:ons-client,org.apache.commons.lang3,com.github.lalithsuresh:examples,org.slf4j,96,287,484,0.33,0.2,0.33
org.mockito:mockito-core,org.mockito,com.github.lalithsuresh:examples,org.slf4j,150,453,484,0.33,0.31,0.33
org.gradle:gradle-tooling-api,org.apache.commons.io,org.apache.httpcomponents:httpclient-win,org.apache.http.impl.client,42,305,131,0.14,0.32,0.32
junit:junit,junit.framework,org.mockito:mockito-core,org.mockito.invocation,38,366,118,0.1,0.32,0.32
com.google.code.gson:gson,com.google,com.github.lalithsuresh:examples,org.slf4j,155,559,484,0.28,0.32,0.32
org.gradle:gradle-tooling-api,org.apache.commons.io,org.apache.httpcomponents:httpclient,org.apache.http.client.methods,41,305,128,0.13,0.32,0.32
org.apache.hbase.thirdparty:hbase-shaded-miscellaneous,org.apache.commons.cli,com.github.lalithsuresh:examples,org.slf4j,35,111,484,0.32,0.07,0.32
com.google.code.gson:gson,com.google,org.hamcrest:hamcrest-all,org.hamcrest,73,559,234,0.13,0.31,0.31
org.hamcrest:hamcrest-all,org.hamcrest,org.mockito:mockito-core,org.mockito.invocation,37,234,118,0.16,0.31,0.31
org.apache.httpcomponents:httpclient-win,org.apache.http.impl.client,org.mockito:mockito-core,org.mockito,40,131,453,0.31,0.09,0.31
org.gradle:gradle-tooling-api,org.apache.commons.io,com.github.lalithsuresh:examples,org.slf4j,95,305,484,0.31,0.2,0.31
junit:junit,org.junit.runners,com.github.lalithsuresh:examples,org.slf4j,101,321,484,0.31,0.21,0.31
org.apache.httpcomponents:httpclient,org.apache.http.client.methods,org.mockito:mockito-core,org.mockito,39,128,453,0.3,0.09,0.3
fish.payara.extras:payara-embedded-all,com.fasterxml.jackson.databind,junit:junit,org.junit.runner,71,234,489,0.3,0.15,0.3
junit:junit,org.junit.runner,com.github.lalithsuresh:examples,org.slf4j,143,489,484,0.29,0.3,0.3
com.github.lalithsuresh:examples,org.slf4j,org.testng:testng,org.testng,31,484,103,0.06,0.3,0.3
org.hamcrest:hamcrest-all,org.hamcrest,com.github.lalithsuresh:examples,org.slf4j,71,234,484,0.3,0.15,0.3
junit:junit,org.junit.runners,org.mockito:mockito-core,org.mockito.stubbing,95,321,350,0.3,0.27,0.3
com.aliyun.openservices:ons-client,com.alibaba.fastjson,com.google.code.gson:gson,com.google,37,128,559,0.29,0.07,0.29
junit:junit,org.junit.runners,org.mockito:mockito-core,org.mockito.invocation,34,321,118,0.11,0.29,0.29
org.hamcrest:hamcrest-all,org.hamcrest,junit:junit,org.junit.runners,68,234,321,0.29,0.21,0.29
org.mockito:mockito-core,org.mockito,org.testng:testng,org.testng.annotations,33,453,114,0.07,0.29,0.29
commons-codec:commons-codec,org.apache,org.mockito:mockito-core,org.mockito,48,171,453,0.28,0.11,0.28
com.aliyun.openservices:ons-client,org.apache.commons.lang3,org.mockito:mockito-core,org.mockito,81,287,453,0.28,0.18,0.28
com.github.lalithsuresh:examples,org.slf4j,org.testng:testng,org.testng.annotations,32,484,114,0.07,0.28,0.28
commons-codec:commons-codec,org.apache,junit:junit,org.junit.runner,48,171,489,0.28,0.1,0.28
fish.payara.extras:payara-embedded-all,com.fasterxml.jackson.databind,org.mockito:mockito-core,org.mockito,65,234,453,0.28,0.14,0.28
org.junit.jupiter:junit-jupiter-api,org.junit.jupiter.api,com.github.lalithsuresh:examples,org.slf4j,33,120,484,0.28,0.07,0.28
org.projectlombok:lombok,lombok,com.github.lalithsuresh:examples,org.slf4j,43,162,484,0.27,0.09,0.27
com.google.code.gson:gson,com.google,junit:junit,junit.framework,99,559,366,0.18,0.27,0.27
org.gradle:gradle-tooling-api,org.apache.commons.io,org.mockito:mockito-core,org.mockito,81,305,453,0.27,0.18,0.27
org.apache.httpcomponents:httpclient,org.apache.http.client.methods,org.mockito:mockito-core,org.mockito.stubbing,34,128,350,0.27,0.1,0.27
junit:junit,junit.framework,org.mockito:mockito-core,org.mockito,100,366,453,0.27,0.22,0.27
org.junit.jupiter:junit-jupiter-api,org.junit.jupiter.api,org.mockito:mockito-core,org.mockito.stubbing,32,120,350,0.27,0.09,0.27
org.apache.httpcomponents:httpclient-win,org.apache.http.impl.client,org.mockito:mockito-core,org.mockito.stubbing,35,131,350,0.27,0.1,0.27
org.mockito:mockito-core,org.mockito,org.testng:testng,org.testng,28,453,103,0.06,0.27,0.27
org.hamcrest:hamcrest-all,org.hamcrest,junit:junit,org.junit.rules,64,234,266,0.27,0.24,0.27
org.assertj:assertj-core,org.assertj.core.api,junit:junit,org.junit.runner,53,195,489,0.27,0.11,0.27
org.projectlombok:lombok,lombok,com.aliyun.openservices:ons-client,org.apache.commons.lang3,44,162,287,0.27,0.15,0.27
commons-codec:commons-codec,org.apache,org.gradle:gradle-tooling-api,org.apache.commons.io,46,171,305,0.27,0.15,0.27
org.assertj:assertj-core,org.assertj.core.api,com.github.lalithsuresh:examples,org.slf4j,53,195,484,0.27,0.11,0.27
junit:junit,junit.framework,com.github.lalithsuresh:examples,org.slf4j,98,366,484,0.27,0.2,0.27
commons-codec:commons-codec,org.apache,com.aliyun.openservices:ons-client,org.apache.commons.lang3,45,171,287,0.26,0.16,0.26
org.apache.httpcomponents:httpclient,org.apache.http.client.methods,junit:junit,org.junit.runner,33,128,489,0.26,0.07,0.26
junit:junit,org.junit.rules,org.mockito:mockito-core,org.mockito.invocation,31,266,118,0.12,0.26,0.26
com.aliyun.openservices:ons-client,com.alibaba.fastjson,com.github.lalithsuresh:examples,org.slf4j,33,128,484,0.26,0.07,0.26
org.gradle:gradle-tooling-api,org.apache.commons.io,junit:junit,org.junit.runner,78,305,489,0.26,0.16,0.26
org.apache.hbase.thirdparty:hbase-shaded-miscellaneous,org.apache.commons.cli,org.gradle:gradle-tooling-api,org.apache.commons.io,29,111,305,0.26,0.1,0.26
org.apache.httpcomponents:httpclient-win,org.apache.http.impl.client,junit:junit,org.junit.runner,34,131,489,0.26,0.07,0.26
org.mockito:mockito-core,org.mockito.stubbing,org.testng:testng,org.testng.annotations,28,350,114,0.08,0.25,0.25
org.mockito:mockito-core,org.mockito.stubbing,org.testng:testng,org.testng,26,350,103,0.07,0.25,0.25
org.projectlombok:lombok,lombok,org.mockito:mockito-core,org.mockito,41,162,453,0.25,0.09,0.25
commons-codec:commons-codec,org.apache,org.mockito:mockito-core,org.mockito.stubbing,43,171,350,0.25,0.12,0.25
org.gradle:gradle-tooling-api,org.apache.commons.io,org.mockito:mockito-core,org.mockito.stubbing,72,305,350,0.24,0.21,0.24
fish.payara.extras:payara-embedded-all,com.fasterxml.jackson.databind,org.apache.httpcomponents:httpclient-win,org.apache.http.impl.client,31,234,131,0.13,0.24,0.24
junit:junit,junit.framework,org.hamcrest:hamcrest-all,org.hamcrest,56,366,234,0.15,0.24,0.24
junit:junit,junit.framework,org.mockito:mockito-core,org.mockito.stubbing,84,366,350,0.23,0.24,0.24
com.aliyun.openservices:ons-client,org.apache.commons.lang3,org.apache.httpcomponents:httpclient,org.apache.http.client.methods,30,287,128,0.1,0.23,0.23
com.google.code.gson:gson,com.google,org.assertj:assertj-core,org.assertj.core.api,44,559,195,0.08,0.23,0.23
org.assertj:assertj-core,org.assertj.core.api,org.junit.jupiter:junit-jupiter-api,org.junit.jupiter.api,27,195,120,0.14,0.23,0.23
fish.payara.extras:payara-embedded-all,com.fasterxml.jackson.databind,org.apache.httpcomponents:httpclient,org.apache.http.client.methods,29,234,128,0.12,0.23,0.23
org.apache.hbase.thirdparty:hbase-shaded-miscellaneous,org.apache.commons.cli,junit:junit,org.junit.runner,25,111,489,0.23,0.05,0.23
com.aliyun.openservices:ons-client,org.apache.commons.lang3,org.apache.httpcomponents:httpclient-win,org.apache.http.impl.client,30,287,131,0.1,0.23,0.23
com.aliyun.openservices:ons-client,com.alibaba.fastjson,org.projectlombok:lombok,lombok,30,128,162,0.23,0.19,0.23
com.aliyun.openservices:ons-client,org.apache.commons.lang3,junit:junit,org.junit.runner,66,287,489,0.23,0.13,0.23
fish.payara.extras:payara-embedded-all,com.fasterxml.jackson.databind,org.mockito:mockito-core,org.mockito.stubbing,52,234,350,0.22,0.15,0.22
org.assertj:assertj-core,org.assertj.core.api,org.mockito:mockito-core,org.mockito.invocation,26,195,118,0.13,0.22,0.22
com.aliyun.openservices:ons-client,org.apache.commons.lang3,org.mockito:mockito-core,org.mockito.stubbing,63,287,350,0.22,0.18,0.22
fish.payara.extras:payara-embedded-all,com.fasterxml.jackson.databind,com.aliyun.openservices:ons-client,org.apache.commons.lang3,52,234,287,0.22,0.18,0.22
org.apache.hbase.thirdparty:hbase-shaded-miscellaneous,org.apache.commons.cli,org.mockito:mockito-core,org.mockito,24,111,453,0.22,0.05,0.22
org.apache.hbase.thirdparty:hbase-shaded-miscellaneous,org.apache.commons.cli,com.aliyun.openservices:ons-client,org.apache.commons.lang3,24,111,287,0.22,0.08,0.22
com.aliyun.openservices:ons-client,com.alibaba.fastjson,org.gradle:gradle-tooling-api,org.apache.commons.io,27,128,305,0.21,0.09,0.21
fish.payara.extras:payara-embedded-all,com.fasterxml.jackson.databind,org.gradle:gradle-tooling-api,org.apache.commons.io,50,234,305,0.21,0.16,0.21
com.google.code.gson:gson,com.google,org.junit.jupiter:junit-jupiter-api,org.junit.jupiter.api,25,559,120,0.04,0.21,0.21
junit:junit,junit.framework,org.apache.hbase.thirdparty:hbase-shaded-miscellaneous,org.apache.commons.cli,22,366,111,0.06,0.2,0.2
org.gradle:gradle-tooling-api,org.apache.commons.io,org.hamcrest:hamcrest-all,org.hamcrest,46,305,234,0.15,0.2,0.2
org.assertj:assertj-core,org.assertj.core.api,junit:junit,org.junit.rules,39,195,266,0.2,0.15,0.2
org.projectlombok:lombok,lombok,org.mockito:mockito-core,org.mockito.stubbing,30,162,350,0.19,0.09,0.19
junit:junit,org.junit,org.testng:testng,org.testng,20,1081,103,0.02,0.19,0.19
